sku,fecha,demanda_unidades,tipo_movimiento,notas
SKU-A101,01/01/2024,120.0,Salida,Registro mensual
SKU-A101,01/02/2024,128.0,Salida,Registro mensual
 SKU-A101 ,01/03/2024,135.0,Salida,Registro mensual
SKU-A101,01/04/2024,142.0,Salida,Registro mensual
SKU-A101,01/05/2024,150.0,Salida,Registro mensual
SKU-A101,01/06/2024,158.0,Salida,Registro mensual
SKU-A101,01/07/2024,165.0,Salida,Registro mensual
SKU-A101,01/08/2024,172.0,Salida,Registro mensual
SKU-A101,01/09/2024,180.0,Salida,Registro mensual
SKU-A101,01/10/2024,188.0,Salida,Registro mensual
SKU-A101,01/11/2024,195.0,Salida,Registro mensual
SKU-A101,01/12/2024,205.0,Salida,Registro mensual
SKU-B202,01/01/2024,85.0,Salida,Registro mensual
SKU-B202,01/02/2024,90.0,Salida,Registro mensual
SKU-B202,01/03/2024,94.0,Salida,Registro mensual
SKU-B202,01/04/2024,98.0,Salida,Registro mensual
SKU-B202,01/05/2024,103.0,Salida,Registro mensual
SKU-B202,01/06/2024,108.0,Salida,Registro mensual
SKU-B202,01/07/2024,112.0,Salida,Registro mensual
SKU-B202,01/08/2024,118.0,Salida,Registro mensual
SKU-B202,01/09/2024,123.0,Salida,Registro mensual
SKU-B202,01/10/2024,129.0,Salida,Registro mensual
SKU-B202,01/11/2024,135.0,Salida,Registro mensual
SKU-B202,01/12/2024,142.0,Salida,Registro mensual
SKU-C303,01/01/2024,210.0,Salida,Registro mensual
SKU-C303,01/02/2024,218.0,Salida,Registro mensual
SKU-C303,01/03/2024,225.0,Salida,Registro mensual
SKU-C303,01/04/2024,232.0,Salida,Registro mensual
SKU-C303,01/05/2024,240.0,Salida,Registro mensual
SKU-C303,01/06/2024,248.0,Salida,Registro mensual
 SKU-C303 ,01/07/2024,255.0,Salida,Registro mensual
SKU-C303,01/08/2024,263.0,Salida,Registro mensual
SKU-C303,01/09/2024,270.0,Salida,Registro mensual
SKU-C303,01/10/2024,278.0,Salida,Registro mensual
SKU-C303,01/11/2024,286.0,Salida,Registro mensual
SKU-C303,01/12/2024,295.0,Salida,Registro mensual
SKU-D404,01/01/2024,65.0,Salida,Registro mensual
SKU-D404,01/02/2024,68.0,Salida,Registro mensual
SKU-D404,01/03/2024,72.0,Salida,Registro mensual
SKU-D404,01/04/2024,75.0,Salida,Registro mensual
SKU-D404,01/05/2024,79.0,Salida,Registro mensual
SKU-D404,01/06/2024,82.0,Salida,Registro mensual
SKU-D404,01/07/2024,86.0,Salida,Registro mensual
SKU-D404,01/08/2024,90.0,Salida,Registro mensual
SKU-D404,01/09/2024,94.0,Salida,Registro mensual
SKU-D404,01/10/2024,98.0,Salida,Registro mensual
SKU-D404,01/11/2024,103.0,Salida,Registro mensual
SKU-D404,01/12/2024,108.0,Salida,Registro mensual
SKU-E505,01/01/2024,145.0,Salida,Registro mensual
SKU-E505,01/02/2024,150.0,Salida,Registro mensual
SKU-E505,01/03/2024,156.0,Salida,Registro mensual
SKU-E505,01/04/2024,162.0,Salida,Registro mensual
SKU-E505,01/05/2024,168.0,Salida,Registro mensual
SKU-E505,01/06/2024,175.0,Salida,Registro mensual
SKU-E505,01/07/2024,181.0,Salida,Registro mensual
SKU-E505,01/08/2024,188.0,Salida,Registro mensual
SKU-E505,01/09/2024,195.0,Salida,Registro mensual
 SKU-E505 ,01/10/2024,202.0,Salida,Registro mensual
SKU-E505,01/11/2024,210.0,Salida,Registro mensual
SKU-E505,01/12/2024,218.0,Salida,Registro mensual
SKU-A101,15/02/2024,8.0,Devolucion,Devolución de cliente
SKU-B202,20/04/2024,5.0,Devolucion,Devolución de cliente
SKU-C303,12/06/2024,10.0,Devolucion,Devolución de cliente
SKU-D404,18/09/2024,4.0,Devolucion,Devolución de cliente
SKU-E505,22/11/2024,7.0,Devolucion,Devolución de cliente
SKU-B202,15/05/2024,,Salida,Dato faltante simulado
SKU-D404,15/10/2024,,Salida,Dato faltante simulado
SKU-C303,15/07/2024,-12.0,Salida,Valor atípico negativo simulado
